set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,store_price,current_price,rating_value,rating_votes,tags,set_type,packaging,notes
71020-10,Vacation Alfred,/sets/71020-10/Vacation-Alfred,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,7,1,,/minifigs/inset-71020-10,$3.99,"New: Not known, Used: Not known",,,"Alfred Pennyworth, Bat Family, Beach, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-11,Soccer Mom Batgirl,/sets/71020-11/Soccer-Mom-Batgirl,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,8,1,,/minifigs/inset-71020-11,$3.99,"New: Not known, Used: Not known",5.0,1review,"Batgirl, Bat Family, Female, Merch Gun, Sports, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-12,Killer Moth,/sets/71020-12/Killer-Moth,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,6,1,,/minifigs/inset-71020-12,$3.99,"New: Not known, Used: Not known",4.0,1review,"Killer Moth, Rogues Gallery, The Lego Batman Movie, Villain",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-13,Wonder Twin (Jayna),/sets/71020-13/Wonder-Twin-(Jayna),Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,7,1,,/minifigs/inset-71020-13,$3.99,"New: Not known, Used: Not known",,,"Jayna, Female, Musical, Super Friends, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-14,Wonder Twin (Zan),/sets/71020-14/Wonder-Twin-(Zan),Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,8,1,,/minifigs/inset-71020-14,$3.99,"New: Not known, Used: Not known",,,"Zan, Super Friends, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-15,Apache Chief,/sets/71020-15/Apache-Chief,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,5,1,,/minifigs/inset-71020-15,$3.99,"New: Not known, Used: Not known",,,"Apache Chief, Super Friends, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-16,Jor-El,/sets/71020-16/Jor-El,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,7,1,,/minifigs/inset-71020-16,$3.99,"New: Not known, Used: Not known",,,"Jor-El, Krypton, Kryptonite, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-17,General Zod,/sets/71020-17/General-Zod,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,5,1,,/minifigs/inset-71020-17,$3.99,"New: Not known, Used: Not known",,,"General Zod, Krypton, The Lego Batman Movie, Villain",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-18,Doctor Phosphorus,/sets/71020-18/Doctor-Phosphorus,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,5,1,,/minifigs/inset-71020-18,$3.99,"New: Not known, Used: Not known",,,"Doctor Phosphorus, Rogues Gallery, Skeletons, The Lego Batman Movie, Villain",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-19,Black Canary,/sets/71020-19/Black-Canary,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,8,1,,/minifigs/inset-71020-19,$3.99,"New: Not known, Used: Not known",,,"Black Canary, Female, Justice League, Musical, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-20,Black Vulcan,/sets/71020-20/Black-Vulcan,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,6,1,,/minifigs/inset-71020-20,"£2.99, $3.99, 3.99€","New: Not known, Used: Not known",,,"Black Vulcan, Super Friends, The Lego Batman Movie",Normal,Foil pack,Included in 71020-21 Might be in 71020-0 
71020-21,LEGO Minifigures - The LEGO Batman Movie Series 2 - Complete,/sets/71020-21/LEGO-Minifigures-The-LEGO-Batman-Movie-Series-2-Complete,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,131,20,,/minifigs/inset-71020-21,,"New: Not known, Used: Not known",,,"Alfred Pennyworth, Apache Chief, Batgirl, Batman, Black Canary, Black Vulcan, Clock King, Doctor Phosphorus, General Zod, Harley Quinn, Hugo Strange, Jayna, Jor-El, Killer Moth, Robin, The Joker, Zan, The Lego Batman Movie",Collection,,Contains 71020-1 71020-2 71020-3 71020-4 71020-5 71020-6 71020-7 71020-8 71020-9 71020-10 71020-11 71020-12 71020-13 71020-14 71020-15 71020-16 71020-17 71020-18 71020-19 71020-20 
71020-22,LEGO Minifigures - The LEGO Batman Movie Series 2 - Sealed Box,/sets/71020-22/LEGO-Minifigures-The-LEGO-Batman-Movie-Series-2-Sealed-Box,Miscellaneous,Collectable Minifigures,The LEGO Batman Movie series 2,2018,,0,,,,"New: Not known, Used: Not known",,,"Collection Box, The Lego Batman Movie",Collection,,
71021-0,LEGO Minifigures - Series 18 {Random bag},/sets/71021-0/LEGO-Minifigures-Series-18-{Random-bag},Miscellaneous,Collectable Minifigures,Series 18,2018,,0,,,$3.99,"New: Not known, Used: Not known",,,,Random,Foil pack,
71021-1,Elephant Girl,/sets/71021-1/Elephant-Girl,Miscellaneous,Collectable Minifigures,Series 18,2018,6,1,,/minifigs/inset-71021-1,$3.99,"New: $2, Used: $4",,,"Animal Suit, Ballet, Costume, Elephant, Female, Rat",Normal,Foil pack,
71021-2,Brick Suit Guy,/sets/71021-2/Brick-Suit-Guy,Miscellaneous,Collectable Minifigures,Series 18,2018,5,1,,/minifigs/inset-71021-2,$3.99,"New: $82, Used: $76",4.3,3,Costume,Normal,Foil pack,
71021-3,Brick Suit Girl,/sets/71021-3/Brick-Suit-Girl,Miscellaneous,Collectable Minifigures,Series 18,2018,5,1,,/minifigs/inset-71021-3,$3.99,"New: Not known, Used: Not known",4.0,4,"Costume, Female",Normal,Foil pack,
71021-4,Party Clown,/sets/71021-4/Party-Clown,Miscellaneous,Collectable Minifigures,Series 18,2018,8,1,,/minifigs/inset-71021-4,$3.99,"New: Not known, Used: Not known",5.0,1review,"Balloons, Clown",Normal,Foil pack,
71021-5,Firework Guy,/sets/71021-5/Firework-Guy,Miscellaneous,Collectable Minifigures,Series 18,2018,4,1,,/minifigs/inset-71021-5,$3.99,"New: Not known, Used: Not known",4.5,2,"Costume, Rocket",Normal,Foil pack,
71021-6,Birthday Party Girl,/sets/71021-6/Birthday-Party-Girl,Miscellaneous,Collectable Minifigures,Series 18,2018,9,1,,/minifigs/inset-71021-6,$3.99,"New: Not known, Used: Not known",,,"Balloons, Birthday, Female",Normal,Foil pack,
71021-7,Dragon Suit Guy,/sets/71021-7/Dragon-Suit-Guy,Miscellaneous,Collectable Minifigures,Series 18,2018,6,1,,/minifigs/inset-71021-7,$3.99,"New: Not known, Used: Not known",5.0,3,"Animal Suit, Costume, Dragon",Normal,Foil pack,
71021-8,Classic Police Officer,/sets/71021-8/Classic-Police-Officer,Miscellaneous,Collectable Minifigures,Series 18,2018,6,1,,/minifigs/inset-71021-8,$3.99,"New: Not known, Used: Not known",4.3,3,"Police, Rare",Normal,Foil pack,
