set_no,name,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,price_store,price_new,price_used,rating_value,rating_votes
70325-1,Infernox captures the Queen,Action/Adventure,Nexo Knights,Season 1,2016.0,253.0,2.0,24.99,21.0,16.0,5.0,4.0
70326-1,The Black Knight Mech,Action/Adventure,Nexo Knights,Season 2,2016.0,530.0,4.0,39.99,45.0,36.0,5.0,1.0
70327-1,The King's Mech,Action/Adventure,Nexo Knights,Season 1,2016.0,375.0,3.0,29.99,31.0,29.0,5.0,3.0
71040-1,Disney Castle,Licensed,Disney,Disney Parks,2016.0,4080.0,7.0,349.99,338.0,313.0,5.0,8.0
75098-1,Assault on Hoth,Licensed,Star Wars,Ultimate Collector Series,2016.0,2144.0,15.0,249.99,251.0,186.0,3.4,5.0
75113-1,Rey,Licensed,Star Wars,Buildable Figures,2016.0,84.0,0.0,19.99,8.0,8.0,4.5,2.0
75114-1,First Order Stormtrooper,Licensed,Star Wars,Buildable Figures,2016.0,81.0,0.0,19.99,16.0,8.0,,
75115-1,Poe Dameron,Licensed,Star Wars,Buildable Figures,2016.0,102.0,0.0,24.99,11.0,9.0,,
75116-1,Finn,Licensed,Star Wars,Buildable Figures,2016.0,98.0,0.0,24.99,8.0,8.0,,
75117-1,Kylo Ren,Licensed,Star Wars,Buildable Figures,2016.0,86.0,0.0,24.99,15.0,9.0,3.5,2.0
75118-1,Captain Phasma,Licensed,Star Wars,Buildable Figures,2016.0,82.0,0.0,24.99,22.0,10.0,5.0,1.0
75119-1,Sergeant Jyn Erso,Licensed,Star Wars,Buildable Figures,2016.0,104.0,0.0,24.99,6.0,6.0,4.5,2.0
75120-1,K-2SO,Licensed,Star Wars,Buildable Figures,2016.0,169.0,0.0,24.99,14.0,13.0,5.0,2.0
75121-1,Imperial Death Trooper,Licensed,Star Wars,Buildable Figures,2016.0,106.0,0.0,24.99,11.0,9.0,5.0,1.0
75125-1,Resistance X-wing Fighter,Licensed,Star Wars,MicroFighters,2016.0,87.0,1.0,9.99,10.0,6.0,4.0,4.0
75126-1,First Order Snowspeeder,Licensed,Star Wars,MicroFighters,2016.0,91.0,1.0,9.99,8.0,5.0,4.8,4.0
75127-1,The Ghost,Licensed,Star Wars,MicroFighters,2016.0,104.0,1.0,9.99,11.0,7.0,4.0,2.0
75128-1,TIE Advanced Prototype,Licensed,Star Wars,MicroFighters,2016.0,93.0,1.0,9.99,10.0,5.0,4.0,2.0
75129-1,Wookiee Gunship,Licensed,Star Wars,MicroFighters,2016.0,84.0,1.0,9.99,9.0,6.0,4.3,3.0
75130-1,AT-DP,Licensed,Star Wars,MicroFighters,2016.0,76.0,1.0,9.99,11.0,11.0,3.5,2.0
75131-1,Resistance Trooper Battle Pack,Licensed,Star Wars,The Force Awakens,2016.0,112.0,4.0,12.99,12.0,8.0,4.3,7.0
75132-1,First Order Battle Pack,Licensed,Star Wars,The Force Awakens,2016.0,88.0,4.0,12.99,11.0,10.0,3.8,9.0
75133-1,Rebel Alliance Battle Pack,Licensed,Star Wars,Battlefront,2016.0,101.0,4.0,12.99,16.0,16.0,4.4,7.0
75134-1,Galactic Empire Battle Pack,Licensed,Star Wars,Battlefront,2016.0,109.0,4.0,12.99,18.0,12.0,4.4,9.0
75135-1,Obi-Wan's Jedi Interceptor,Licensed,Star Wars,Episode III,2016.0,215.0,2.0,24.99,34.0,26.0,3.9,7.0
75136-1,Droid Escape Pod,Licensed,Star Wars,Episode IV,2016.0,197.0,4.0,24.99,21.0,14.0,4.2,5.0
75137-1,Carbon-Freezing Chamber,Licensed,Star Wars,Episode V,2016.0,231.0,4.0,24.99,24.0,17.0,4.3,12.0
