set_no,name,url,theme_group,theme,subtheme,year,piece_cnt,minifig_cnt,inventory_url,minifig_url,price_store,price_new,price_used,rating_value,rating_votes,tags,set_type,packaging,inventory_id,number_parts,total_parts,1st_color,2nd_color
75135-1,Obi-Wan's Jedi Interceptor,/sets/75135-1/Obi-Wan-s-Jedi-Interceptor,Licensed,Star Wars,Episode III,2016.0,215.0,2.0,/inventories/75135-1,/minifigs/inset-75135-1,24.99,34.0,26.0,3.9,7.0,"Obi-Wan Kenobi, R4-P17, Droid, Eta 2 Actis Class Interceptor, Galactic Republic, Jedi, Revenge of the Sith, Starfighter",Normal,Box,6768,99,221,Light Bluish Gray,Dark Bluish Gray
75136-1,Droid Escape Pod,/sets/75136-1/Droid-Escape-Pod,Licensed,Star Wars,Episode IV,2016.0,197.0,4.0,/inventories/75136-1,/minifigs/inset-75136-1,24.99,21.0,14.0,4.2,5.0,"C-3PO, Jawa, R2-D2, A New Hope, Death Star Plans, Droid, Escape Pod, Original Trilogy, Rebel Alliance, Tatooine",Normal,Box,2346,68,202,Light Bluish Gray,Dark Bluish Gray
75137-1,Carbon-Freezing Chamber,/sets/75137-1/Carbon-Freezing-Chamber,Licensed,Star Wars,Episode V,2016.0,231.0,4.0,/inventories/75137-1,/minifigs/inset-75137-1,24.99,24.0,17.0,4.3,12.0,"Boba Fett, Han Solo, Ugnaught, Bespin, Bounty Hunters, Carbonite, Cloud City, Original Trilogy, The Empire Strikes Back",Normal,Box,14196,110,245,Light Bluish Gray,Dark Bluish Gray
75138-1,Hoth Attack,/sets/75138-1/Hoth-Attack,Licensed,Star Wars,Episode V,2016.0,233.0,4.0,/inventories/75138-1,/minifigs/inset-75138-1,24.99,26.0,19.0,4.0,3.0,"Han Solo, Hoth Rebel Trooper, Imperial Probe Droid, Snowtrooper, Droid, Hoth, Original Trilogy, Rebel Alliance, The Empire Strikes Back",Normal,Box,8169,120,245,White,Light Bluish Gray
75139-1,Battle on Takodana,/sets/75139-1/Battle-on-Takodana,Licensed,Star Wars,The Force Awakens,2016.0,409.0,5.0,/inventories/75139-1,/minifigs/inset-75139-1,59.99,37.0,26.0,3.7,6.0,"Finn, First Order Stormtrooper, Kylo Ren, Maz Kanata, Brick Built Tree, Sequel Trilogy, Sliding Door, The Force Awakens",Normal,Box,4141,121,405,Dark Bluish Gray,Dark Tan
75140-1,Resistance Troop Transporter,/sets/75140-1/Resistance-Troop-Transporter,Licensed,Star Wars,The Force Awakens,2016.0,646.0,4.0,/inventories/75140-1,/minifigs/inset-75140-1,69.99,48.0,40.0,4.0,5.0,"Admiral Ackbar, Princess Leia, Resistance Trooper, Resistance, Sequel Trilogy, The Force Awakens",Normal,Box,5181,186,660,Light Bluish Gray,Dark Bluish Gray
75141-1,Kanan's Speeder Bike,/sets/75141-1/Kanan-s-Speeder-Bike,Licensed,Star Wars,Rebels,2016.0,234.0,3.0,/inventories/75141-1,/minifigs/inset-75141-1,19.99,25.0,14.0,4.3,4.0,"Imperial Combat Driver, Kanan Jarrus, Stormtrooper, Cartoon, Galactic Empire, Lothal, Rebel Alliance, Season 1",Normal,Box,13652,85,226,Light Bluish Gray,Dark Bluish Gray
75142-1,Homing Spider Droid,/sets/75142-1/Homing-Spider-Droid,Licensed,Star Wars,Episode III,2016.0,310.0,5.0,/inventories/75142-1,/minifigs/inset-75142-1,29.99,37.0,34.0,3.7,3.0,"Battle Droid, Clone Trooper, Dwarf Spider Droid, Yoda, Droid, Prequel Trilogy, Revenge of the Sith, Separatists, Walker",Normal,Box,11538,96,309,Dark Bluish Gray,Light Bluish Gray
75145-1,Eclipse Fighter,/sets/75145-1/Eclipse-Fighter,Licensed,Star Wars,Original Content,2016.0,363.0,2.0,/inventories/75145-1,/minifigs/inset-75145-1,29.99,27.0,18.0,4.0,3.0,"Dengar, Naare, Bounty Hunters, Cartoon, Galactic Empire, Sith, Starfighter, The Freemaker Adventures",Normal,Box,2571,145,363,Black,Dark Bluish Gray
75146-1,Star Wars Advent Calendar,/sets/75146-1/Star-Wars-Advent-Calendar,Licensed,Star Wars,Seasonal,2016.0,282.0,10.0,/inventories/75146-1,/minifigs/inset-75146-1,39.99,26.0,22.0,4.5,2.0,"Battle Droid, Bespin Guard, Chewbacca, Gonk Droid, Hoth Rebel Trooper, Imperial Navy Trooper, Luke Skywalker, Snowtrooper, Stormtrooper, U-3PO, Aat, Advent Calendar, Droid, Galactic Empire, Galactic Republic, Microscale, Rebel Alliance, Separatists, Slave I, Snowman, Star Wars Shuttle, Starfighter, Tantive Iv",Normal,Box,11774,213,330,White,Light Bluish Gray
75147-1,StarScavenger,/sets/75147-1/StarScavenger,Licensed,Star Wars,Original Content,2016.0,558.0,4.0,/inventories/75147-1,/minifigs/inset-75147-1,49.99,39.0,30.0,3.0,1.0,"Kordi, RO-GR, Rowan, Zander, Cartoon, Mech, The Freemaker Adventures",Normal,Box,3604,168,577,Dark Bluish Gray,Light Bluish Gray
75148-1,Encounter on Jakku,/sets/75148-1/Encounter-on-Jakku,Licensed,Star Wars,The Force Awakens,2016.0,530.0,4.0,/inventories/75148-1,/minifigs/inset-75148-1,59.99,34.0,26.0,4.3,4.0,"BB-8, Rey, Teedo, Unkar Plutt, Droid, Jakku, Luggabeast, Shop, The Force Awakens",Normal,Box,1566,245,562,Tan,Reddish Brown
75149-1,Resistance X-wing Fighter,/sets/75149-1/Resistance-X-wing-Fighter,Licensed,Star Wars,The Force Awakens,2016.0,740.0,4.0,/inventories/75149-1,/minifigs/inset-75149-1,79.99,70.0,53.0,4.4,5.0,"BB-8, First Order Flametrooper, Lor San Tekka, Poe Dameron, Droid, Jakku, Resistance, Sequel Trilogy, Starfighter, The Force Awakens",Normal,Box,13471,234,739,Light Bluish Gray,Dark Bluish Gray
