set_no,name,price_store,price_used,popularity,group,year,total_parts,number_parts,number_colors,scolor_1st,scolor_2nd
6581-1,Dig 'N' Dump,13.25,11.0,14.100000000000001,Modern day,1996.0,128,66,10,Yellow,Black
6598-1,Metro PD Station,66.0,57.0,10.0,Modern day,1996.0,573,238,14,White,Gray
6615-1,Eagle Stunt Flyer,8.75,8.0,23.0,Modern day,1996.0,78,46,10,Red,Black
6625-1,Speed Trackers,6.75,8.0,25.799999999999997,Modern day,1996.0,66,39,12,White,Black
6712-1,Sheriff's Showdown,4.0,10.0,36.9,Historical,1996.0,28,23,7,Black,Gray
6716-1,Covered Wagon,8.0,28.0,43.0,Historical,1996.0,65,38,7,Black,Gray
6755-1,Sheriff's Lock-Up,25.0,43.0,78.19999999999999,Historical,1996.0,180,102,13,Black,Gray
6761-1,Bandit's Secret Hide-Out,40.0,87.0,50.0,Historical,1996.0,250,132,13,Black,Gray
6765-1,Gold City Junction,50.0,97.0,40.0,Historical,1996.0,351,168,12,Black,White
6769-1,Fort Legoredo,85.0,165.0,68.60000000000001,Historical,1996.0,692,171,14,Brown,Black
6815-1,Hovertron,3.0,4.0,51.599999999999994,Action/Adventure,1996.0,29,23,8,White,Black
6854-1,Alien Fossilizer,6.0,15.0,19.0,Action/Adventure,1996.0,54,44,9,White,Black
6856-1,Planetary Decoder,8.0,8.0,24.0,Action/Adventure,1996.0,78,52,8,Black,White
6899-1,Nebula Outpost,15.0,16.0,51.599999999999994,Action/Adventure,1996.0,159,75,9,Black,White
6938-1,Scorpion Detector,24.0,34.0,24.0,Action/Adventure,1996.0,199,101,8,White,Black
6958-1,Android Base,40.0,48.0,32.9,Action/Adventure,1996.0,274,147,11,White,Black
6982-1,Explorien Starship,80.0,79.0,73.8,Action/Adventure,1996.0,658,180,12,White,Black
1782-1,Discovery Station,50.0,81.0,21.0,Modern day,1997.0,334,190,18,Black,Gray
2126-1,Train Cars,69.5,118.0,5.0,Modern day,1997.0,385,137,14,Black,Yellow
2148-1,LEGO Truck,11.0,20.0,21.0,Modern day,1997.0,108,55,10,Yellow,Black
